yearid,fipscode,raceid,ageid,genderid,educationid,indicatorid,miscid,datasourceid,estimateid,SuppressID,datasetid,GeoLevel,Estimate,SeEstimate,LowerLimit,UpperLimit
1984,-1,0,99,1,0,1,0,3,61,0,3,National,2.2,0.2,1.8,2.5
1984,-1,0,99,1,0,1,0,3,101,0,3,National,2420,196,2032,2808
1984,-1,0,99,1,0,1,0,30,61,0,40,National,3,0.2,2.6,3.5
1984,-1,0,99,1,0,1,0,30,101,0,40,National,2397,194,2013,2780
1984,-1,0,99,2,0,1,0,3,61,0,3,National,3,0.2,2.6,3.4
1984,-1,0,99,2,0,1,0,3,101,0,3,National,3584,253,3085,4084
1984,-1,0,99,2,0,1,0,30,61,0,40,National,4,0.3,3.4,4.5
1984,-1,0,99,2,0,1,0,30,101,0,40,National,3519,253,3020,4018
1984,-1,0,100,0,0,1,0,3,61,0,3,National,2.8,0.2,2.6,3.2
1984,-1,0,100,0,0,1,0,30,61,0,40,National,3.8,0.2,3.4,4.2
1984,-1,0,100,0,1,1,0,30,61,0,40,National,5.1,0.4,4.4,5.9
1984,-1,0,100,0,2,1,0,30,61,0,40,National,3.4,0.3,2.9,4.1
1984,-1,0,100,0,3,1,0,30,61,0,40,National,2.7,0.4,2,3.5
1984,-1,0,100,1,0,1,0,3,61,0,3,National,2.6,0.2,2.2,3
1984,-1,0,100,1,0,1,0,30,61,0,40,National,3.4,0.3,2.9,4
1984,-1,0,100,2,0,1,0,3,61,0,3,National,3.1,0.2,2.7,3.5
1984,-1,0,100,2,0,1,0,30,61,0,40,National,4.1,0.3,3.5,4.6
1984,-1,1,99,0,0,1,0,3,61,0,3,National,2.4,0.2,2.1,2.8
1984,-1,1,99,0,0,1,0,3,101,0,3,National,4820,304,4220,5421
1984,-1,1,99,0,0,1,0,30,61,0,40,National,3.3,0.2,2.9,3.7
1984,-1,1,99,0,0,1,0,30,101,0,40,National,4759,301,4164,5354
1984,-1,1,100,0,0,1,0,3,61,0,3,National,2.6,0.2,2.3,2.9
